modelIdentifier,spinSpeedRated,type,onMarketStartDate,spinSpeedHalf,ratedCapacity,spinClass,maxTemperatureRated,maxTemperatureQuarter,dimensionDepth,guaranteeDuration,dimensionHeight,powerNetworkStandby,moisture,spinSpeedQuarter,energyEfficiencyIndex,noiseClass,powerStandbyMode,powerOffMode,webLinkSupplier,programmeDurationHalf,programmeDurationQuarter,energyConsPerCycle,noise,waterCons,energyClass,programmeDurationRated,dimensionWidth,supplierOrTrademark,energyConsPer100Cycle,maxTemperatureHalf,powerDelayStart,rinsingEffectiveness
WFOI 12123 AT EP 7,1200.0,FREE_STANDING,"[2025, 2, 18]",1200.0,12.0,B,40.0,23.0,63.0,24.0,85.0,0.0,53.4,1200.0,41.5,B,0.5,0.5,http://www.ocean.it,180.0,180.0,0.434,75.0,51.0,A,240.0,60.0,OCEAN,43.0,24.0,4.0,5.0
DRS-WM71200A,1200.0,FREE_STANDING,"[2025, 2, 18]",1200.0,7.0,B,38.0,21.0,44.0,24.0,85.0,,53.9,1200.0,46.9,B,,0.5,www.derosso.website,162.0,162.0,0.404,76.0,37.0,A,208.0,60.0,DeROSSO,40.0,26.0,4.0,5.0
TW147A20WHEU,1400.0,FREE_STANDING,"[2025, 2, 18]",1400.0,7.0,B,29.0,23.0,47.0,24.0,85.0,,53.9,1400.0,41.1,A,,0.49,https://www.madocumentationreparation.com/,162.0,157.0,0.354,72.0,38.0,A,208.0,60.0,THOMSON,35.0,28.0,4.0,5.0
EFL1114W25,1350.0,FREE_STANDING,"[2025, 2, 18]",1350.0,11.0,B,38.0,23.0,63.0,12.0,85.0,,53.9,1350.0,51.9,B,,0.5,https://www.elkjop.no/,180.0,180.0,0.529,74.0,54.0,A,240.0,60.0,Epoq,53.0,34.0,4.0,5.0
WFOI 12103 AT EP 7,1200.0,FREE_STANDING,"[2025, 2, 18]",1200.0,10.0,B,35.0,23.0,58.0,24.0,85.0,0.0,53.4,1200.0,41.5,B,0.5,0.5,http://www.ocean.it,170.0,140.0,0.41,74.0,37.0,A,238.0,60.0,OCEAN,41.0,26.0,4.0,5.0
HW100-B14387GU1,1330.0,FREE_STANDING,"[2025, 2, 18]",1330.0,10.0,B,28.0,25.0,59.0,24.0,85.0,2.0,53.9,1330.0,36.4,A,,0.5,www.haier.com,178.0,168.0,0.361,70.0,42.0,A,238.0,60.0,Haier,36.0,28.0,4.0,5.0
EW7FI25140GD 914475003,1351.0,FREE_STANDING,"[2025, 2, 17]",1351.0,10.0,B,27.0,24.0,64.0,0.0,85.0,2.0,53.9,1351.0,31.0,A,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914475003,179.0,150.0,0.306,72.0,49.0,A,238.0,60.0,Electrolux,31.0,26.0,4.0,4.9
EW7FI51014DG 914475001,1351.0,FREE_STANDING,"[2025, 2, 17]",1351.0,10.0,B,27.0,24.0,64.0,0.0,85.0,2.0,53.9,1351.0,31.0,A,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914475001,179.0,150.0,0.306,72.0,49.0,A,238.0,60.0,Electrolux,31.0,26.0,4.0,4.9
LFSR74944UD 914500715,1351.0,FREE_STANDING,"[2025, 2, 17]",1351.0,9.0,B,35.0,24.0,58.0,12.0,85.0,,53.9,1351.0,41.4,A,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914500715,173.0,170.0,0.394,72.0,45.0,A,228.0,60.0,AEG,39.0,28.0,4.0,4.9
LR76HOT 914505215,1351.0,FREE_STANDING,"[2025, 2, 17]",1351.0,10.0,B,27.0,24.0,64.0,24.0,85.0,,53.9,1351.0,31.0,A,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914505215,179.0,150.0,0.306,72.0,49.0,A,238.0,60.0,AEG,31.0,26.0,4.0,4.9
EW8F4414SUC 914495603,1351.0,FREE_STANDING,"[2025, 2, 17]",1351.0,10.0,B,25.0,25.0,64.0,24.0,85.0,,53.9,1351.0,25.8,A,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914495603,179.0,130.0,0.255,72.0,50.0,A,238.0,60.0,Electrolux,26.0,25.0,4.0,4.9
LR7FD104B 914505213,1351.0,FREE_STANDING,"[2025, 2, 17]",1351.0,10.0,B,27.0,24.0,64.0,24.0,85.0,,53.9,1351.0,31.0,A,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914505213,179.0,150.0,0.306,72.0,49.0,A,238.0,60.0,AEG,31.0,26.0,4.0,4.9
LFSR74144UD 914505112,1351.0,FREE_STANDING,"[2025, 2, 17]",1351.0,10.0,B,27.0,24.0,64.0,12.0,85.0,,53.9,1351.0,31.0,A,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914505112,179.0,150.0,0.306,72.0,49.0,A,238.0,60.0,AEG,31.0,26.0,4.0,4.9
LTR7E70268 913143790,1151.0,FREE_STANDING,"[2025, 2, 17]",1151.0,6.0,B,43.0,25.0,60.0,24.0,90.0,,53.9,1151.0,59.8,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913143790,155.0,155.0,0.484,78.0,43.0,B,197.0,40.0,AEG,48.0,34.0,4.0,4.9
LTR7EP1ECO 913143789,1151.0,FREE_STANDING,"[2025, 2, 17]",1151.0,6.0,B,43.0,25.0,60.0,24.0,90.0,,53.9,1151.0,59.8,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913143789,155.0,155.0,0.484,78.0,43.0,B,197.0,40.0,AEG,48.0,34.0,4.0,4.9
TFWM1014AW,1330.0,FREE_STANDING,"[2025, 2, 15]",1330.0,10.0,B,41.0,25.0,58.0,24.0,85.0,0.0,53.4,1330.0,52.0,C,1.0,0.5,http://vestel-france.fr/fr/,180.0,180.0,0.514,77.0,52.0,A,239.0,60.0,TELEFUNKEN,51.0,27.0,4.0,5.0
P35127SKW-A,1200.0,FREE_STANDING,"[2025, 2, 14]",1200.0,7.0,B,38.0,21.0,44.0,12.0,85.0,0.0,53.9,1200.0,46.9,B,0.0,0.5,www.powerpointappliances.ie,162.0,162.0,0.404,76.0,37.0,A,208.0,60.0,Powerpoint,40.0,26.0,4.0,5.0
OZS292DW4-S,1151.0,FREE_STANDING,"[2025, 2, 14]",1151.0,9.0,B,39.0,26.0,54.0,24.0,85.0,,53.9,1151.0,59.9,C,1.0,0.5,https://manuals.he.services/,174.0,174.0,0.5700000000000001,77.0,46.0,B,228.0,60.0,Zerowatt,57.0,32.0,4.0,4.9
FP8WH2PT,1350.0,FREE_STANDING,"[2025, 2, 13]",1350.0,8.0,B,36.0,24.0,54.0,24.0,85.0,,53.9,1350.0,51.9,B,1.0,0.5,https://www.madocumentationreparation.com,168.0,168.0,0.472,76.0,48.0,A,218.0,60.0,Proline ,47.0,29.0,4.0,5.0
TDLR P66 BS IT,1151.0,FREE_STANDING,"[2025, 2, 12]",1151.0,6.0,B,29.0,23.0,60.0,24.0,90.0,,53.0,1151.0,52.0,C,0.11,0.11,https://docs.whirlpool.eu/,155.0,135.0,0.421,79.0,43.0,A,195.0,40.0,WHIRLPOOL,42.0,26.0,4.0,4.9
F4NA10S7NWK,1350.0,FREE_STANDING,"[2025, 2, 11]",1350.0,7.0,B,32.0,24.0,53.0,24.0,85.0,,53.9,1350.0,51.9,B,0.5,0.5,https://www.lg.com/global/ajax/common_manual,162.0,162.0,0.447,74.0,45.0,A,208.0,60.0,LG Electronics,45.0,29.0,4.0,5.0
MFA06W80BA10/W-ES,1351.0,BUILT_IN,"[2025, 2, 11]",1351.0,8.0,B,35.0,24.0,54.0,36.0,82.0,,53.9,1351.0,46.6,B,0.5,0.5,www.midea.es,168.0,168.0,0.424,72.0,48.0,A,218.0,59.0,Midea,42.0,29.0,4.0,5.0
