modelIdentifier,spinSpeedRated,type,onMarketStartDate,spinSpeedHalf,ratedCapacity,spinClass,maxTemperatureRated,maxTemperatureQuarter,dimensionDepth,guaranteeDuration,dimensionHeight,spinSpeedQuarter,energyEfficiencyIndex,noiseClass,powerOffMode,webLinkSupplier,programmeDurationHalf,programmeDurationQuarter,energyConsPerCycle,noise,waterCons,energyClass,programmeDurationRated,dimensionWidth,supplierOrTrademark,energyConsPer100Cycle,maxTemperatureHalf,powerDelayStart,rinsingEffectiveness
DRS-WM71200A,1200.0,FREE_STANDING,"[2025, 2, 18]",1200.0,7.0,B,38.0,21.0,44.0,24.0,85.0,1200.0,46.9,B,0.5,www.derosso.website,162.0,162.0,0.404,76.0,37.0,A,208.0,60.0,DeROSSO,40.0,26.0,4.0,5.0
EFL1114W25,1350.0,FREE_STANDING,"[2025, 2, 18]",1350.0,11.0,B,38.0,23.0,63.0,12.0,85.0,1350.0,51.9,B,0.5,https://www.elkjop.no/,180.0,180.0,0.529,74.0,54.0,A,240.0,60.0,Epoq,53.0,34.0,4.0,5.0
WSJ 800-83 CH,1600.0,FREE_STANDING,"[2025, 2, 18]",1600.0,9.0,A,42.0,25.0,64.0,24.0,85.0,1600.0,51.8,A,0.4,https://www.miele.com/,159.0,149.0,0.493,68.0,48.0,A,199.0,60.0,Miele,49.0,31.0,3.6,4.0
WFOI 12103 AT EP 7,1200.0,FREE_STANDING,"[2025, 2, 18]",1200.0,10.0,B,35.0,23.0,58.0,24.0,85.0,1200.0,41.5,B,0.5,http://www.ocean.it,170.0,140.0,0.41,74.0,37.0,A,238.0,60.0,OCEAN,41.0,26.0,4.0,5.0
HW100-B14387GU1,1330.0,FREE_STANDING,"[2025, 2, 18]",1330.0,10.0,B,28.0,25.0,59.0,24.0,85.0,1330.0,36.4,A,0.5,www.haier.com,178.0,168.0,0.361,70.0,42.0,A,238.0,60.0,Haier,36.0,28.0,4.0,5.0
WFO 1071 AL EP 4,1000.0,FREE_STANDING,"[2025, 2, 18]",1000.0,7.0,C,46.0,23.0,50.0,24.0,85.0,1000.0,80.0,B,0.5,http://www.ocean.it,160.0,160.0,0.6900000000000001,76.0,45.0,D,208.0,60.0,OCEAN,69.0,27.0,4.0,5.0
EW7FI25140GD 914475003,1351.0,FREE_STANDING,"[2025, 2, 17]",1351.0,10.0,B,27.0,24.0,64.0,0.0,85.0,1351.0,31.0,A,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914475003,179.0,150.0,0.306,72.0,49.0,A,238.0,60.0,Electrolux,31.0,26.0,4.0,4.9
EW7FI51014DG 914475001,1351.0,FREE_STANDING,"[2025, 2, 17]",1351.0,10.0,B,27.0,24.0,64.0,0.0,85.0,1351.0,31.0,A,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914475001,179.0,150.0,0.306,72.0,49.0,A,238.0,60.0,Electrolux,31.0,26.0,4.0,4.9
LR76HOT 914505215,1351.0,FREE_STANDING,"[2025, 2, 17]",1351.0,10.0,B,27.0,24.0,64.0,24.0,85.0,1351.0,31.0,A,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914505215,179.0,150.0,0.306,72.0,49.0,A,238.0,60.0,AEG,31.0,26.0,4.0,4.9
EW7FI1630XV 914495509,1550.0,FREE_STANDING,"[2025, 2, 17]",1550.0,10.0,A,31.0,24.0,64.0,0.0,85.0,1550.0,46.6,B,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914495509,179.0,170.0,0.46,76.0,49.0,A,235.0,60.0,Electrolux,46.0,28.0,4.0,4.9
