modelIdentifier,spinSpeedRated,type,onMarketStartDate,spinSpeedHalf,ratedCapacity,spinClass,maxTemperatureRated,maxTemperatureQuarter,dimensionDepth,guaranteeDuration,dimensionHeight,powerNetworkStandby,moisture,spinSpeedQuarter,energyEfficiencyIndex,noiseClass,powerStandbyMode,powerOffMode,webLinkSupplier,programmeDurationHalf,programmeDurationQuarter,energyConsPerCycle,noise,waterCons,energyClass,programmeDurationRated,dimensionWidth,supplierOrTrademark,energyConsPer100Cycle,maxTemperatureHalf,powerDelayStart,rinsingEffectiveness,onMarketStart_Year,onMarketStart_Month,onMarketStart_Day,price
WT1210EEF,1350,FREE_STANDING,"[2024, 12, 12]",1350,12,A,30,25,66,24,166,2,44.9,1350,46.8,A,0.5,0.5,https://www.lg.com/global/ajax/common_manual,180,160,0.49,72,57,A,240,60,LG Electronics,49,28,4,5,2024,12,12,$3000
F34X71WHST,1350,FREE_STANDING,"[2024, 12, 12]",1350,13,B,33,25,62,24,85,2,53.9,1350,31.2,A,0.5,0.5,https://www.lg.com/global/ajax/common_manual,180,130,0.333,71,46,A,240,60,LG Electronics,33,27,4,5,2024,12,12,$1000
EFI953SY6S 914475614,1550,FREE_STANDING,"[2024, 12, 2]",1550,11,A,27,25,58,24,85,2,44.9,1550,41.4,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914475614,179,160,0.422,76,51,A,239,60,Electrolux,42,27,4,4.9,2024,12,2,$3500
EW6FNE3482P 914931061,1351,FREE_STANDING,"[2024, 12, 2]",1351,8,B,39,22,58,24,85,,53.4,1351,51.8,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914931061,160,155,0.471,75,43,A,205,60,Electrolux,47,30,4,4.9,2024,12,2,$2500
EW7F4492QC 914496218,1351,FREE_STANDING,"[2024, 12, 2]",1351,9,B,35,23,66,24,85,2,53.4,1351,51.8,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914496218,155,150,0.493,75,46,A,220,60,Electrolux,49,33,4,4.9,2024,12,2,$3500
EW7FEU5692QP 914475207,1550,FREE_STANDING,"[2024, 12, 2]",1550,9,A,27,24,64,24,85,2,44.9,1550,46.6,A,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914475207,173,170,0.443,72,48,A,225,60,Electrolux,44,29,4,4.9,2024,12,2,$3500
WGB254AYPL,1400,FREE_STANDING,"[2024, 12, 1]",1400,10,B,30,23,65,24,85,2,53,1400,30.8,A,0.5,0.5,https://www.bosch-home.com/energylabel,175,165,0.304,71,48,A,235,60,Bosch,30,25,4,5,2024,12,1,$999.99
L6SE74BB 914343170,1351,FREE_STANDING,"[2024, 12, 1]",1351,7,B,46,23,49,24,84,,53.3,1351,59.7,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914343170,160,145,0.515,75,45,B,205,60,AEG,52,28,4,4.9,2024,12,1,$3000
WTL360,1151,FREE_STANDING,"[2024, 11, 30]",1151,6,B,40,25,60,24,90,0,53,1151,59.9,C,0.11,0.11,www.beko.ro,155,140,0.485,79,43,B,195,40,Beko,48,27,4,4.9,2024,11,30,$1500
BTL1WFP10724ES 859991697860,1151,FREE_STANDING,"[2024, 11, 30]",1151,7,B,49,26,60,24,90,0,53,1151,79.9,C,0.11,0.11,www.beko.ro,160,150,0.689,78,45,D,205,40,Beko,69,36,4,4.9,2024,11,30,$3000
WTL370,1151,FREE_STANDING,"[2024, 11, 30]",1151,7,B,49,26,60,24,90,0,53,1151,79.9,C,0.11,0.11,www.beko.ro,160,140,0.689,78,45,D,205,40,Beko,69,36,4,4.9,2024,11,30,$3000
F4WX859Y,1350,FREE_STANDING,"[2024, 11, 27]",1350,9,B,28,25,57,24,85,2,53.9,1350,36.4,A,0.5,0.5,https://www.lg.com/global/ajax/common_manual,174,135,0.346,71,50,A,228,60,LG Electronics,35,27,4,5,2024,11,27,£2500
EW8F569QC 914485201,1600,FREE_STANDING,"[2024, 11, 25]",1600,9,A,31,24,58,24,85,2,44.9,1600,46.6,A,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914485201,170,160,0.443,72,46,A,228,60,Electrolux,44,25,4,4.9,2024,11,25,$3500
EW6FI3814RA 914931049,1351,FREE_STANDING,"[2024, 11, 25]",1351,8,B,39,22,58,0,85,,53.4,1351,51.8,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914931049,160,155,0.471,75,43,A,205,60,Electrolux,47,30,4,4.9,2024,11,25,$3000
LFR61G814O 914913171,1351,FREE_STANDING,"[2024, 11, 25]",1351,8,B,39,22,58,0,85,,53.4,1351,51.8,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914913171,160,155,0.471,74,43,A,205,60,AEG,47,30,4,4.9,2024,11,25,$3500
EW9F568WCC 914485401,1600,FREE_STANDING,"[2024, 11, 25]",1600,8,A,25,22,58,24,85,2,44.9,1600,36.2,A,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914485401,165,125,0.329,72,44,A,215,60,Electrolux,33,24,4,4.9,2024,11,25,$3000
YFI8D53Y4Q 914475516,1400,FREE_STANDING,"[2024, 11, 25]",1400,11,B,29,26,64,24,85,2,53.9,1400,44,A,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914475516,179,179,0.449,72,51,A,239,60,Electrolux,45,28,4,4.9,2024,11,25,$3000
LTR7E70269 913143788,1151,FREE_STANDING,"[2024, 11, 25]",1151,6,B,43,25,60,24,90,,53.9,1151,59.8,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913143788,155,155,0.484,78,43,B,197,40,AEG,48,34,4,4.9,2024,11,25,$3000
BTL1WFP10724 859991696410,1151,FREE_STANDING,"[2024, 11, 24]",1151,7,B,49,26,60,24,90,0,53,1151,79.9,C,0.11,0.11,www.beko.ro,160,150,0.689,78,45,D,205,40,Beko,69,36,4,4.9,2024,11,24,£771.56
BTL1WFP10724PL 859991696400,1151,FREE_STANDING,"[2024, 11, 24]",1151,7,B,49,26,60,24,90,0,53,1151,79.9,C,0.11,0.11,www.beko.ro,160,150,0.689,78,45,D,205,40,Beko,69,36,4,4.9,2024,11,24,$3000
BM3WFU31041R 7004240024,1351,FREE_STANDING,"[2024, 11, 22]",1351,10,B,33,22,58,24,85,0,53.9,1351,51.5,B,0.5,0.5,http://support.beko.com,173,173,0.509,75,51,A,228,60,Beko,51,31,4,4.9,2024,11,22,$16191
BM3WFU49415WDC 7004840066,1400,FREE_STANDING,"[2024, 11, 20]",1400,9,B,34,24,55,24,85,0,53.9,1400,51.5,B,0.5,0.5,http://support.beko.com,173,173,0.49,75,49,A,228,60,Beko,49,28,4,4.9,2024,11,20,$15000
LR944PX6S 914501243,1500,FREE_STANDING,"[2024, 11, 18]",1550,10.5,A,26,24,64,24,85,2,44.9,1550,41.4,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914501243,175,165,0.416,76,47,A,238,60,AEG,42,26,4,4.9,2024,11,18,$6999.00
EW7FG4492UC 914496217,1351,FREE_STANDING,"[2024, 11, 18]",1351,9,B,35,23,66,24,85,,53.4,1351,51.8,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914496217,155,150,0.493,75,46,A,220,60,Electrolux,49,33,4,4.9,2024,11,18,$3000
WGE0340CNL,1400,FREE_STANDING,"[2024, 11, 15]",1400,8,B,37,23,63,24,85,,53,1400,50.7,A,0.5,0.15,https://www.bosch-home.com/energylabel,160,140,0.461,72,47,A,213,60,Bosch,46,27,0.55,5,2024,11,15,£591
WGE0340SNL,1400,FREE_STANDING,"[2024, 11, 15]",1400,8,B,37,23,63,24,85,,53,1400,50.7,A,0.5,0.15,https://www.bosch-home.com/energylabel,160,140,0.461,72,47,A,213,60,Bosch,46,27,0.55,5,2024,11,15,£670
BTL1WFP10724AT 859991697870,1151,FREE_STANDING,"[2024, 11, 10]",1151,7,B,49,26,60,24,90,0,53,1151,79.9,C,0.11,0.11,www.beko.ro,160,150,0.689,78,45,D,205,40,Beko,69,36,4,4.9,2024,11,10,$3500
BM1WFU36235WBPBDC 7004540005,1151,FREE_STANDING,"[2024, 11, 8]",1151,6,B,35,23,45,24,85,,53.9,1151,59.5,B,0.5,0.5,http://support.beko.com,155,155,0.482,74,43,B,197,60,Beko,48,24,4,4.9,2024,11,8,$3000
EWY51223CB 913135722,1151,FREE_STANDING,"[2024, 11, 4]",1151,6,B,44,23,60,0,89,,53.5,1151,59.8,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913135722,155,155,0.484,78,43,B,195,40,Electrolux,48,30,4,4.9,2024,11,4,$3000
EWQ6412B 913135721,1151,FREE_STANDING,"[2024, 11, 4]",1151,6,B,44,23,60,0,89,,53.5,1151,59.8,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913135721,155,155,0.484,78,43,B,195,40,Electrolux,48,30,4,4.9,2024,11,4,$3500
WGB2560H0,1600,FREE_STANDING,"[2024, 11, 1]",1600,10,A,30,23,65,24,85,2,43.5,1600,35.8,A,0.5,0.5,https://www.bosch-home.com/energylabel,179,170,0.354,72,48,A,237,60,Bosch,35,25,4,5,2024,11,1,£778.26
WAN28199PL,1400,FREE_STANDING,"[2024, 11, 1]",1400,8,B,37,23,63,24,85,,53,1400,50.7,A,0.5,0.15,https://www.bosch-home.com/energylabel,160,140,0.461,71,47,A,213,60,Bosch,46,27,0.55,5,2024,11,1,$3000
WGB2540CCH,1400,FREE_STANDING,"[2024, 11, 1]",1400,10,B,30,23,65,24,85,2,53,1400,30.8,A,0.5,0.5,https://www.bosch-home.com/energylabel,175,165,0.304,71,48,A,235,60,Bosch,30,25,4,5,2024,11,1,$3000
WM232 457100000002,1351,FREE_STANDING,"[2024, 10, 30]",1351,12,B,34,25,63,24,85,0,53.8,1351,51.5,C,0.5,0.5,http://support.beko.com,179,179,0.539,77,56,A,239,60,Beko,54,30,4,4.9,2024,10,30,£13.59
BM3WFU412415W 457100009600,1351,FREE_STANDING,"[2024, 10, 30]",1351,12,B,34,25,63,24,85,0,53.8,1351,51.5,C,0.5,0.5,http://support.beko.com,179,179,0.539,77,56,A,239,60,Beko,54,30,4,4.9,2024,10,30,$2999
EW9F710GCY 914475613,1351,FREE_STANDING,"[2024, 10, 28]",1351,10,B,25,25,64,24,85,2,53.9,1351,20.6,A,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914475613,170,120,0.204,72,50,A,235,60,Electrolux,20,25,4,4.9,2024,10,28,$3000
LR734L96L 914501557,1551,FREE_STANDING,"[2024, 10, 28]",1551,9,B,35,23,64,24,85,,52.8,1551,51.8,B,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914501557,155,150,0.493,76,46,A,220,60,AEG,49,33,4,4.9,2024,10,28,$3000
L53260BG 913133403,1151,FREE_STANDING,"[2024, 10, 28]",1151,6,B,44,23,60,0,89,,53.5,1151,59.8,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913133403,155,155,0.484,78,43,B,195,40,AEG,48,30,4,4.9,2024,10,28,£689
L53266BL 913133402,1151,FREE_STANDING,"[2024, 10, 28]",1151,6,B,44,23,60,0,89,,53.5,1151,59.8,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913133402,155,155,0.484,78,43,B,195,40,AEG,48,30,4,4.9,2024,10,28,$3000
LTR5N30260 913133400,1151,FREE_STANDING,"[2024, 10, 28]",1151,6,B,44,23,60,24,89,,53.5,1151,59.8,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913133400,155,155,0.484,78,43,B,195,40,AEG,48,30,4,4.9,2024,10,28,$3000
LTR5N30268 913133401,1151,FREE_STANDING,"[2024, 10, 28]",1151,6,B,44,23,60,24,89,,53.5,1151,59.8,C,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/913133401,155,155,0.484,78,43,B,195,40,AEG,48,30,4,4.9,2024,10,28,£609.99
F4WX801YB,1350,FREE_STANDING,"[2024, 10, 22]",1350,11,B,33,25,57,24,85,2,53.9,1350,30.8,A,0.5,0.5,https://www.lg.com/global/ajax/common_manual,180,140,0.314,71,46,A,240,60,LG Electronics,31,26,4,5,2024,10,22,$3000
LSR6FS75260 914343117,1151,FREE_STANDING,"[2024, 10, 21]",1151,6,B,42,23,42,24,84,,53.5,1151,59.8,A,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914343117,155,145,0.484,72,40,B,197,60,AEG,48,31,4,4.9,2024,10,21,£609.99
LSR6E6264X 914343116,1151,FREE_STANDING,"[2024, 10, 21]",1151,6,B,42,23,42,0,84,,53.5,1151,59.8,A,0.5,0.5,https://support.electroluxgroup.eu/external/PISlink/Products/914343116,155,145,0.484,72,40,B,197,60,AEG,48,31,4,4.9,2024,10,21,$3000
BTL1WFP10622DE 859991697010,1151,FREE_STANDING,"[2024, 10, 20]",1151,6,B,49,26,60,24,90,0,53,1151,59.9,C,0.11,0.11,www.beko.ro,155,140,8.05,79,45,B,195,40,Beko,48,36,4,4.9,2024,10,20,$3000
WGG244Z3FR,1351,FREE_STANDING,"[2024, 10, 17]",1351,9,B,38,22,63,24,85,,51.4,1351,51.4,A,0.5,0.15,https://www.bosch-home.com/energylabel,174,150,0.489,71,50,A,228,60,Bosch,49,27,0.6,5,2024,10,17,$2900
WGG244F1FR,1351,FREE_STANDING,"[2024, 10, 17]",1351,9,B,38,22,63,24,85,,51.4,1351,51.4,A,0.5,0.15,https://www.bosch-home.com/energylabel,174,150,0.489,71,50,A,228,60,Bosch,49,27,0.6,5,2024,10,17,£789.50
WGG244ZSFR,1351,FREE_STANDING,"[2024, 10, 17]",1351,9,B,38,22,63,24,85,,51.4,1351,51.4,A,0.5,0.15,https://www.bosch-home.com/energylabel,174,150,0.489,71,50,A,228,60,Bosch,49,27,0.6,5,2024,10,17,$3000
WGG244ZMFR,1351,FREE_STANDING,"[2024, 10, 17]",1351,9,B,38,22,63,24,85,,51.4,1351,51.4,A,0.5,0.15,https://www.bosch-home.com/energylabel,174,150,0.489,71,50,A,228,60,Bosch,49,27,0.6,5,2024,10,17,£667
WGB2541AFG,1400,FREE_STANDING,"[2024, 10, 15]",1400,10,B,30,23,65,24,85,2,53,1400,30.8,A,0.5,0.5,https://www.bosch-home.com/energylabel,175,165,0.304,71,48,A,235,60,Bosch,30,25,4,5,2024,10,15,£1209
WGB256AONL,1600,FREE_STANDING,"[2024, 10, 15]",1600,10,A,30,23,65,24,85,2,43.5,1600,35.8,A,0.5,0.5,https://www.bosch-home.com/energylabel,179,170,0.354,72,48,A,237,60,Bosch,35,25,4,5,2024,10,15,£18.99
WGB256AMNL,1600,FREE_STANDING,"[2024, 10, 15]",1600,10,A,30,23,65,24,85,2,43.5,1600,35.8,A,0.5,0.5,https://www.bosch-home.com/energylabel,179,170,0.354,72,48,A,237,60,Bosch,35,25,4,5,2024,10,15,$3000
WGH2460XPL,1600,FREE_STANDING,"[2024, 10, 15]",1600,9,A,36,23,63,24,85,2,44.5,1600,51.8,B,0.5,0.5,https://www.bosch-home.com/energylabel,172,172,0.493,73,50,A,220,60,Bosch,49,27,4,5,2024,10,15,$899.00
WGB2440WFG,1400,FREE_STANDING,"[2024, 10, 15]",1400,9,B,27,22,65,24,85,2,53,1400,26.1,A,0.5,0.5,https://www.bosch-home.com/energylabel,170,155,0.248,71,47,A,220,60,Bosch,25,24,4,5,2024,10,15,£1189.00
WGB256A6BY,1600,FREE_STANDING,"[2024, 10, 15]",1600,10,A,30,23,65,24,85,2,43.5,1600,35.8,A,0.5,0.5,https://www.bosch-home.com/energylabel,179,170,0.354,72,48,A,237,60,Bosch,35,25,4,5,2024,10,15,$1800
WGB256ASNL,1600,FREE_STANDING,"[2024, 10, 15]",1600,10,A,30,23,65,24,85,2,43.5,1600,35.8,B,0.5,0.5,https://www.bosch-home.com/energylabel,179,170,0.354,74,48,A,237,60,Bosch,35,25,4,5,2024,10,15,£1199
